,image,species,individual_id,prediction,correct
17,607a018d245cf3.jpg,dusky_dolphin,c5940154ce98,4930148c7db6,False
89,2b06e249409e18.jpg,pilot_whale,482247439879,af8bcea82736,False
159,b44a6f89519aca.jpg,humpback_whale,f0795c89a15c,4930148c7db6,False
181,e4e86aa454cdac.jpg,killer_whale,ac28317ce07c,a146a3719a99,False
269,8bd2e9889b20b3.jpg,spinner_dolphin,9fda5cdd0f98,4930148c7db6,False
286,7c7ad3c5b84678.jpg,dusky_dolphin,ee938ca54cb3,a766574493fc,False
383,cbf3c7967bb059.jpg,humpback_whale,234972913c23,acce61f05313,False
694,6ba8a8a1229ab5.jpg,dusky_dolphin,eb3271cc9351,9fa5d7002638,False
794,fa835bc667f5fa.jpg,humpback_whale,4bef98a6fa1e,4930148c7db6,False
836,f6d567ffe6c6e2.jpg,humpback_whale,a138bf337c8c,4930148c7db6,False
868,d4de9f247b5b9e.jpg,humpback_whale,16892accd2d3,4930148c7db6,False
943,686d8902d3b24b.jpg,melon_headed_whale,ac6c31d5838c,46948a11d51d,False
967,385ade3c81413b.jpg,dusky_dolphin,c5276108bab5,b5b144c3590d,False
1191,97616f4ddcc6fc.jpg,killer_whale,79ba9c59cd89,4930148c7db6,False
1201,9a68683ae67f54.jpg,dusky_dolphin,1ee45e8cf43c,4930148c7db6,False
1208,ae908c6cc73e2b.jpg,dusky_dolphin,d3aa8f0c55e9,c33efa15877f,False
1348,9c6074f91ce989.jpg,dusky_dolphin,81787a3d0054,4930148c7db6,False
1491,fec98825259631.jpg,humpback_whale,8beb43dfa67e,ae92ca447105,False
1503,458a20ba91ec89.jpg,dusky_dolphin,637dd5599dae,4930148c7db6,False
1532,39f58b38256a4b.jpg,humpback_whale,016d51a4260b,f3b2c32a2e2c,False
1768,d4811bb9471597.jpg,melon_headed_whale,76f624409d6e,31b06c132257,False
1860,767cbd3e55b14d.jpg,melon_headed_whale,9903f4013331,4930148c7db6,False
1875,0f3bad8d14038f.jpg,southern_right_whale,66ad55d076b7,4817a881787b,False
1889,98a06dad81e6d2.jpg,dusky_dolphin,ed840f396590,4930148c7db6,False
2054,fe8ab8ef74bb5f.jpg,cuviers_beaked_whale,91071a458934,45ee3c5d12a1,False
2531,457e81b1939f7c.jpg,killer_whale,b5b8f3e42c22,4930148c7db6,False
2550,4ccd83a6c4bc5d.jpg,melon_headed_whale,8ba0cb9fe7e4,4ee7fe0704c3,False
2582,cec712225d15df.jpg,humpback_whale,feb8cee2c2a2,abbbd4acd487,False
2593,0a6330c3a25309.jpg,melon_headed_whale,f30e4a69dff7,76f624409d6e,False
2599,f5f4346751e2b3.jpg,fin_whale,1f53ac23232a,4930148c7db6,False
2601,f6430a78a60849.jpg,dusky_dolphin,e8346f26f798,4930148c7db6,False
2764,efee17756d8b39.jpg,blue_whale,3d942ef38c97,4930148c7db6,False
2803,a8dea618b62606.jpg,blue_whale,902867f1f878,c8e9b4f91d2a,False
2926,70a1a46c0e2779.jpg,dusky_dolphin,f7758fdeac94,4930148c7db6,False
3050,074f575986d46d.jpg,melon_headed_whale,cf109ad459ba,46948a11d51d,False
